country,hdicode,region,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022
Benin,Low,SSA,0.456,0.464,0.47,0.475,0.481,0.486,0.494,0.503,0.506,0.509,0.508,0.505,0.506,0.506,0.501,0.502,0.504
Botswana,High,SSA,0.615,0.629,0.637,0.639,0.652,0.66,0.664,0.676,0.683,0.688,0.697,0.705,0.7,0.703,0.701,0.68,0.708
Burkina Faso,Low,SSA,0.335,0.339,0.352,0.362,0.372,0.383,0.393,0.399,0.403,0.413,0.422,0.432,0.443,0.446,0.446,0.445,0.438
Burundi,Low,SSA,0.365,0.377,0.39,0.397,0.404,0.408,0.412,0.416,0.419,0.42,0.423,0.422,0.421,0.423,0.419,0.419,0.42
Cabo Verde,Medium,SSA,0.633,0.639,0.643,0.645,0.649,0.657,0.657,0.664,0.663,0.658,0.664,0.668,0.664,0.667,0.649,0.65,0.661
Central African Republic,Low,SSA,0.333,0.339,0.345,0.35,0.357,0.365,0.372,0.352,0.354,0.367,0.373,0.379,0.386,0.391,0.389,0.387,0.387
Chad,Low,SSA,0.328,0.339,0.343,0.357,0.364,0.373,0.381,0.385,0.392,0.388,0.388,0.389,0.393,0.398,0.396,0.393,0.394
Comoros,Medium,SSA,0.497,0.503,0.51,0.517,0.524,0.532,0.538,0.546,0.551,0.556,0.563,0.571,0.578,0.584,0.588,0.585,0.586
Congo,Medium,SSA,0.552,0.553,0.561,0.574,0.581,0.584,0.595,0.6,0.609,0.61,0.606,0.6,0.603,0.596,0.598,0.598,0.593
Congo (Democratic Republic of the),Low,SSA,0.397,0.401,0.41,0.416,0.424,0.432,0.434,0.44,0.45,0.457,0.466,0.469,0.474,0.476,0.477,0.475,0.481
Djibouti,Low,AS,0.384,0.394,0.401,0.411,0.422,0.432,0.444,0.453,0.463,0.473,0.482,0.491,0.499,0.508,0.512,0.512,0.515
Eritrea,Low,SSA,0.466,0.465,0.45,0.455,0.458,0.473,0.476,0.472,0.49,0.473,0.477,0.472,0.482,0.487,0.49,0.49,0.493
Eswatini (Kingdom of),Medium,SSA,0.454,0.464,0.473,0.481,0.498,0.514,0.53,0.546,0.56,0.577,0.59,0.601,0.613,0.623,0.622,0.612,0.61
Ethiopia,Low,SSA,0.359,0.376,0.391,0.399,0.409,0.419,0.426,0.437,0.445,0.455,0.465,0.472,0.479,0.485,0.489,0.489,0.492
Fiji,High,EAP,0.687,0.689,0.693,0.696,0.699,0.704,0.707,0.712,0.715,0.716,0.721,0.728,0.731,0.73,0.722,0.715,0.729
Guinea,Low,SSA,0.394,0.402,0.408,0.41,0.415,0.421,0.425,0.43,0.436,0.449,0.466,0.467,0.464,0.47,0.471,0.467,0.471
Guinea-Bissau,Low,SSA,0.414,0.421,0.426,0.434,0.441,0.45,0.454,0.458,0.465,0.47,0.476,0.479,0.48,0.488,0.482,0.482,0.483
Kenya,Medium,SSA,0.531,0.54,0.546,0.546,0.545,0.552,0.557,0.562,0.569,0.575,0.586,0.591,0.598,0.604,0.599,0.596,0.601
Liberia,Low,SSA,0.443,0.448,0.453,0.456,0.46,0.464,0.469,0.474,0.472,0.472,0.478,0.481,0.484,0.485,0.483,0.484,0.487
Libya,High,AS,0.768,0.771,0.773,0.772,0.774,0.734,0.777,0.766,0.75,0.749,0.746,0.761,0.764,0.756,0.737,0.746,0.746
Madagascar,Low,SSA,0.469,0.477,0.485,0.488,0.488,0.49,0.492,0.494,0.497,0.499,0.501,0.502,0.502,0.498,0.486,0.484,0.487
Malawi,Low,SSA,0.426,0.433,0.442,0.452,0.461,0.469,0.476,0.484,0.493,0.498,0.501,0.506,0.509,0.514,0.512,0.509,0.508
Mauritania,Low,SSA,0.495,0.495,0.495,0.505,0.508,0.513,0.522,0.53,0.532,0.536,0.532,0.536,0.546,0.552,0.539,0.538,0.54
Mozambique,Low,SSA,0.367,0.38,0.391,0.4,0.407,0.412,0.418,0.432,0.438,0.445,0.448,0.45,0.458,0.465,0.467,0.459,0.461
Namibia,Medium,SSA,0.559,0.567,0.574,0.579,0.584,0.59,0.599,0.61,0.619,0.627,0.631,0.634,0.635,0.638,0.634,0.616,0.61
Nauru,Medium,EAP,0.499,0.506,0.547,0.545,0.559,0.572,0.586,0.597,0.618,0.642,0.655,0.664,0.668,0.68,0.689,0.693,0.696
